Name,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,hemisphere
Korla,41.76,86.15,55.0,43,99,4.0,CN,10/17/2020,north
Prince George,53.92,-122.75,30.2,74,1,5.82,CA,10/17/2020,north
Tuatapere,-46.13,167.68,53.01,66,95,7.0,NZ,10/17/2020,South
Mahébourg,-20.41,57.7,66.2,93,75,3.36,MU,10/17/2020,South
Ushuaia,-54.8,-68.3,42.8,81,40,9.17,AR,10/17/2020,South
Bosansko Grahovo,44.18,16.36,34.0,75,0,5.99,BA,10/17/2020,north
Broken Hill,-31.95,141.43,59.0,54,75,13.87,AU,10/17/2020,South
Yangi Marg`ilon,40.43,71.72,53.6,54,0,9.17,UZ,10/17/2020,north
Havøysund,71.0,24.66,30.2,92,100,8.05,NO,10/17/2020,north
Mataura,-46.19,168.86,53.01,66,72,7.0,NZ,10/17/2020,South
Vaini,-21.2,-175.2,77.0,83,75,17.22,TO,10/17/2020,South
Coahuayana Viejo,18.73,-103.68,79.72,85,100,1.52,MX,10/17/2020,north
Jamestown,42.1,-79.24,45.0,48,1,6.93,US,10/17/2020,north
Ugoofaaru,5.67,73.0,82.71,76,100,14.16,MV,10/17/2020,north
Punta Arenas,-53.15,-70.92,42.8,93,87,3.36,CL,10/17/2020,South
Arraial do Cabo,-22.97,-42.03,70.11,83,31,14.61,BR,10/17/2020,South
Busselton,-33.65,115.33,77.0,33,0,5.57,AU,10/17/2020,South
Barrow,71.29,-156.79,19.4,79,1,13.87,US,10/17/2020,north
West Bay,19.37,-81.42,86.0,79,20,13.87,KY,10/17/2020,north
Arica,-18.48,-70.3,62.01,80,74,0.63,CL,10/17/2020,South
Saskylakh,71.92,114.08,16.05,96,99,4.45,RU,10/17/2020,north
Springbok,-29.66,17.89,55.51,39,0,0.83,ZA,10/17/2020,South
Kapaa,22.08,-159.32,78.8,83,40,6.93,US,10/17/2020,north
Nabire,-3.37,135.48,80.46,87,100,5.23,ID,10/17/2020,South
Dunedin,-45.87,170.5,53.01,71,77,5.99,NZ,10/17/2020,South
Atar,20.52,-13.05,86.11,29,22,7.63,MR,10/17/2020,north
Tuktoyaktuk,69.45,-133.04,14.0,92,5,6.93,CA,10/17/2020,north
Peterhead,57.51,-1.8,46.0,87,90,9.17,GB,10/17/2020,north
Warrington,53.39,-2.58,50.0,93,98,3.36,GB,10/17/2020,north
Elmira,42.09,-76.81,42.01,80,1,4.34,US,10/17/2020,north
Kristiansund,63.11,7.73,41.0,65,87,42.5,NO,10/17/2020,north
Linden,6.0,-58.3,77.0,88,40,4.7,GY,10/17/2020,north
Usinsk,65.99,57.53,25.86,98,33,10.09,RU,10/17/2020,north
Rikitea,-23.12,-134.97,74.32,80,100,18.86,PF,10/17/2020,South
George Town,5.41,100.34,84.2,83,20,5.82,MY,10/17/2020,north
Port Alfred,-33.59,26.89,62.26,87,100,16.42,ZA,10/17/2020,South
Zhongshu,24.52,103.77,52.27,87,100,4.34,CN,10/17/2020,north
Tual,-5.67,132.75,81.1,79,83,15.77,ID,10/17/2020,South
São Gabriel,-30.34,-54.32,64.27,56,100,9.1,BR,10/17/2020,South
Vanimo,-2.67,141.3,85.84,67,100,9.04,PG,10/17/2020,South
Kahului,20.89,-156.47,87.8,55,40,6.93,US,10/17/2020,north
Ponta do Sol,32.67,-17.1,69.8,68,40,18.34,PT,10/17/2020,north
Manaure,11.78,-72.44,84.43,75,45,9.62,CO,10/17/2020,north
Jining,35.41,116.58,65.79,28,67,5.95,CN,10/17/2020,north
Carnot,4.94,15.87,68.13,92,100,1.74,CF,10/17/2020,north
Husavik,66.04,-17.34,44.6,75,75,16.11,IS,10/17/2020,north
Petropavlovsk-Kamchatskiy,53.05,158.65,44.6,65,40,4.47,RU,10/17/2020,north
Castro,-24.79,-50.01,49.68,96,30,7.4,BR,10/17/2020,South
Riachão das Neves,-11.75,-44.91,77.83,35,2,3.78,BR,10/17/2020,South
Mukhen,48.1,136.1,43.95,59,88,14.0,RU,10/17/2020,north
Hermanus,-34.42,19.23,52.0,95,59,6.13,ZA,10/17/2020,South
Alexandria,31.22,29.96,72.12,63,0,4.34,EG,10/17/2020,north
Benalla,-36.55,145.98,64.4,55,40,11.41,AU,10/17/2020,South
Yellowknife,62.46,-114.35,25.0,92,75,11.41,CA,10/17/2020,north
Pevek,69.7,170.31,29.39,98,100,9.01,RU,10/17/2020,north
Uvira,-3.41,29.15,74.35,56,64,2.21,CD,10/17/2020,South
Dingle,11.0,122.67,86.22,73,52,7.78,PH,10/17/2020,north
Moose Factory,51.26,-80.61,32.0,97,1,4.7,CA,10/17/2020,north
Bambous Virieux,-20.34,57.76,73.99,93,75,3.36,MU,10/17/2020,South
Atuona,-9.8,-139.03,78.3,76,1,14.07,PF,10/17/2020,South
Zhangjiakou,40.81,114.88,54.25,34,0,4.72,CN,10/17/2020,north
Hobart,-42.88,147.33,62.01,50,75,4.7,AU,10/17/2020,South
Severo-Kuril'sk,50.68,156.12,48.96,61,17,13.73,RU,10/17/2020,north
Avarua,-21.21,-159.78,77.0,69,94,13.87,CK,10/17/2020,South
Lompoc,34.64,-120.46,66.2,82,1,6.93,US,10/17/2020,north
Lebu,-37.62,-73.65,50.11,94,20,5.03,CL,10/17/2020,South
Birin,26.89,88.07,69.55,80,8,2.39,NP,10/17/2020,north
Abu Kamal,34.45,40.92,62.65,38,0,3.33,SY,10/17/2020,north
Kavieng,-2.57,150.8,84.58,73,17,6.73,PG,10/17/2020,South
Tongren,27.72,109.19,55.92,77,100,2.33,CN,10/17/2020,north
Bluff,-46.6,168.33,53.01,66,56,7.0,NZ,10/17/2020,South
Townsville,-19.25,146.8,82.4,58,4,17.22,AU,10/17/2020,South
Dossor,47.53,52.98,54.1,72,0,6.06,KZ,10/17/2020,north
Am Timan,11.03,20.28,71.17,71,40,2.1,TD,10/17/2020,north
Simplício Mendes,-7.85,-41.91,77.77,32,58,7.09,BR,10/17/2020,South
Souillac,-20.52,57.52,66.2,93,75,3.36,MU,10/17/2020,South
New Norfolk,-42.78,147.06,62.01,62,98,3.0,AU,10/17/2020,South
Vilyuysk,63.76,121.62,16.9,90,0,4.16,RU,10/17/2020,north
Soe,-9.86,124.28,89.64,31,1,6.2,ID,10/17/2020,South
Olafsvik,64.89,-23.71,45.12,84,100,25.05,IS,10/17/2020,north
Half Moon Bay,37.46,-122.43,77.0,59,1,2.57,US,10/17/2020,north
Leningradskiy,69.38,178.42,24.24,89,0,6.98,RU,10/17/2020,north
Fortuna,40.6,-124.16,55.99,93,1,6.93,US,10/17/2020,north
Thompson,55.74,-97.86,28.4,100,90,2.24,CA,10/17/2020,north
Upernavik,72.79,-56.15,35.31,96,100,13.73,GL,10/17/2020,north
Fort Nelson,58.81,-122.7,21.2,62,20,2.24,CA,10/17/2020,north
Hong Kong,22.29,114.16,79.0,62,31,11.99,HK,10/17/2020,north
Puerto Ayora,-0.74,-90.35,71.01,86,91,4.0,EC,10/17/2020,South
San Jose,37.34,-121.89,81.0,28,20,6.93,US,10/17/2020,north
San Patricio,28.02,-97.52,75.99,88,1,10.29,US,10/17/2020,north
Arman',59.7,150.17,33.46,93,100,4.43,RU,10/17/2020,north
Kavaratti,10.57,72.64,81.43,78,35,9.82,IN,10/17/2020,north
Ilulissat,69.22,-51.1,39.2,80,99,5.82,GL,10/17/2020,north
Taitung City,22.76,121.14,82.4,65,75,9.17,TW,10/17/2020,north
Pisco,-13.7,-76.22,63.0,87,20,12.75,PE,10/17/2020,South
Aksarka,66.56,67.8,22.66,95,100,9.26,RU,10/17/2020,north
Chokurdakh,70.63,147.92,23.56,98,100,6.69,RU,10/17/2020,north
Aykhal,66.0,111.5,10.4,85,0,2.24,RU,10/17/2020,north
Riyadh,24.69,46.72,60.8,29,0,2.24,SA,10/17/2020,north
Kismayo,-0.36,42.55,77.74,79,62,12.26,SO,10/17/2020,South
Qaanaaq,77.48,-69.36,35.69,84,100,8.46,GL,10/17/2020,north
Airai,-8.93,125.41,81.46,37,62,3.2,TL,10/17/2020,South
Tiznit Province,29.58,-9.5,58.91,62,0,0.81,MA,10/17/2020,north
Tasiilaq,65.61,-37.64,48.2,36,4,18.34,GL,10/17/2020,north
Uribia,11.71,-72.27,84.33,72,60,11.21,CO,10/17/2020,north
Los Llanos de Aridane,28.66,-17.92,71.6,83,40,5.82,ES,10/17/2020,north
Arlit,18.74,7.39,86.47,14,0,5.19,NE,10/17/2020,north
Reconquista,-29.15,-59.65,70.16,96,1,8.88,AR,10/17/2020,South
Berlevåg,70.86,29.09,37.81,74,99,12.12,NO,10/17/2020,north
Bredasdorp,-34.53,20.04,53.6,93,100,5.82,ZA,10/17/2020,South
Aktobe,50.28,57.21,32.0,70,56,6.71,KZ,10/17/2020,north
Loreto,22.27,-101.97,61.93,60,0,9.73,MX,10/17/2020,north
Khatanga,71.97,102.5,6.64,91,34,8.55,RU,10/17/2020,north
Pangnirtung,66.15,-65.71,26.58,92,99,5.01,CA,10/17/2020,north
Purranque,-40.92,-73.17,50.0,93,40,9.17,CL,10/17/2020,South
Matara,5.95,80.54,82.74,72,96,13.24,LK,10/17/2020,north
Naze,28.37,129.48,77.0,88,75,17.22,JP,10/17/2020,north
Albany,42.6,-73.97,41.0,93,1,4.7,US,10/17/2020,north
Horta,38.53,-28.63,61.92,59,17,11.43,PT,10/17/2020,north
Labuhan,-6.88,112.21,88.05,52,83,2.93,ID,10/17/2020,South
Rawson,-43.3,-65.1,70.57,25,53,34.49,AR,10/17/2020,South
Hilo,19.73,-155.09,84.2,62,90,11.41,US,10/17/2020,north
Maceió,-9.67,-35.74,71.6,88,12,2.24,BR,10/17/2020,South
Dicamay,16.76,122.0,81.21,84,89,3.22,PH,10/17/2020,north
Klaksvík,62.23,-6.59,35.6,93,96,1.12,FO,10/17/2020,north
Belyy Yar,53.6,91.39,48.2,57,100,6.71,RU,10/17/2020,north
Cherskiy,68.75,161.3,24.6,93,31,14.9,RU,10/17/2020,north
San Luis,-33.3,-66.34,76.24,36,0,10.87,AR,10/17/2020,South
Provideniya,64.38,-173.3,36.81,87,43,1.9,RU,10/17/2020,north
Altagracia de Orituco,9.86,-66.38,71.13,89,32,2.55,VE,10/17/2020,north
Hofn,64.25,-15.21,40.19,81,100,5.57,IS,10/17/2020,north
Porto Nacional,-10.71,-48.42,80.6,78,20,3.36,BR,10/17/2020,South
Poso,-1.4,120.75,80.08,78,83,3.02,ID,10/17/2020,South
Constitución,-35.33,-72.42,50.43,78,0,7.76,CL,10/17/2020,South
Hasaki,35.73,140.83,68.0,72,75,10.29,JP,10/17/2020,north
Sola,-13.88,167.55,79.56,79,57,18.01,VU,10/17/2020,South
Hithadhoo,-0.6,73.08,83.12,77,100,20.94,MV,10/17/2020,South
Chui,-33.7,-53.46,59.9,88,77,6.26,UY,10/17/2020,South
Solnechnyy,50.72,136.63,37.51,65,68,15.77,RU,10/17/2020,north
Butaritari,3.07,172.79,82.45,77,26,20.07,KI,10/17/2020,north
Clyde River,70.47,-68.59,35.6,88,90,26.4,CA,10/17/2020,north
Cape Town,-33.93,18.42,55.99,93,20,3.36,ZA,10/17/2020,South
Ciudad del Carmen,18.63,-91.83,81.32,80,86,11.9,MX,10/17/2020,north
Saint Paul Harbor,57.79,-152.41,44.6,70,90,9.17,US,10/17/2020,north
Cabra,37.47,-4.44,52.0,59,1,3.18,ES,10/17/2020,north
Likasi,-10.98,26.73,63.36,70,4,2.95,CD,10/17/2020,South
Lavrentiya,65.58,-171.0,37.56,88,100,2.84,RU,10/17/2020,north
Freeport,40.66,-73.58,57.2,70,1,1.88,US,10/17/2020,north
Aktash,50.3,87.73,30.06,82,91,5.41,RU,10/17/2020,north
Tura,25.52,90.22,82.76,76,34,2.13,IN,10/17/2020,north
Abu Samrah,35.3,37.18,55.27,81,0,1.14,SY,10/17/2020,north
Codrington,-38.27,141.97,54.48,68,93,8.12,AU,10/17/2020,South
Pokhara,28.23,83.98,77.5,53,0,2.53,NP,10/17/2020,north
Kiryat Gat,31.61,34.76,70.0,76,0,3.27,IL,10/17/2020,north
Zaragoza,41.66,-0.88,42.8,81,0,4.7,ES,10/17/2020,north
Mar del Plata,-38.0,-57.56,66.2,88,0,8.05,AR,10/17/2020,South
Leh,34.17,77.58,41.38,50,0,3.87,IN,10/17/2020,north
Fare,-16.7,-151.02,81.09,72,70,6.44,PF,10/17/2020,South
Gizo Government Station,-8.1,156.84,79.39,83,100,4.92,SB,10/17/2020,South
Kirakira,-10.45,161.92,85.17,69,6,8.19,SB,10/17/2020,South
Umeå,63.83,20.26,34.0,93,14,5.82,SE,10/17/2020,north
Suşehri,40.16,38.09,53.92,40,4,0.78,TR,10/17/2020,north
Bermeo,43.42,-2.72,48.99,100,77,3.36,ES,10/17/2020,north
Kashgar,39.45,75.98,50.0,39,0,8.95,CN,10/17/2020,north
Saint George,37.1,-113.58,78.8,10,1,1.92,US,10/17/2020,north
Homer,59.64,-151.55,44.01,70,90,3.36,US,10/17/2020,north
Telšiai,55.98,22.25,39.7,80,99,11.83,LT,10/17/2020,north
Safi,32.3,-9.24,60.48,78,1,10.8,MA,10/17/2020,north
Pacific Grove,36.62,-121.92,66.0,79,0,1.19,US,10/17/2020,north
Cidreira,-30.18,-50.21,66.94,81,87,23.35,BR,10/17/2020,South
Tiksi,71.69,128.87,19.4,95,100,12.41,RU,10/17/2020,north
Saint-Pierre,-21.34,55.48,73.0,60,2,4.7,RE,10/17/2020,South
High Level,58.52,-117.14,24.8,62,90,4.7,CA,10/17/2020,north
Saint-François,46.42,3.91,46.4,87,75,3.36,FR,10/17/2020,north
Qena,26.16,32.72,71.02,35,0,3.56,EG,10/17/2020,north
Verāval,20.9,70.37,83.91,80,68,16.51,IN,10/17/2020,north
Portland,45.52,-122.68,60.01,81,94,1.95,US,10/17/2020,north
Bani Walid,31.76,13.99,61.75,70,84,9.13,LY,10/17/2020,north
Lüderitz,-26.65,15.16,65.28,40,2,17.18,NA,10/17/2020,South
Tingi,-11.3,35.03,64.33,75,32,4.45,TZ,10/17/2020,South
Seoul,37.57,126.98,64.4,45,1,6.08,KR,10/17/2020,north
Shingū,33.73,135.98,64.4,82,75,3.36,JP,10/17/2020,north
Broome,42.25,-75.83,44.6,48,1,5.82,US,10/17/2020,north
Katsuura,35.13,140.3,68.0,63,75,10.29,JP,10/17/2020,north
Kruisfontein,-34.0,24.73,55.99,95,100,11.5,ZA,10/17/2020,South
São Filipe,14.9,-24.5,79.7,80,28,1.41,CV,10/17/2020,north
Port Elizabeth,-33.92,25.57,59.0,93,75,16.11,ZA,10/17/2020,South
Kalulushi,-12.84,28.09,60.85,61,0,4.38,ZM,10/17/2020,South
Ortigueira,-24.21,-50.95,56.26,84,56,4.81,BR,10/17/2020,South
Ketchikan,55.34,-131.65,48.2,70,90,4.7,US,10/17/2020,north
Nikolskoye,59.7,30.79,37.0,80,75,8.95,RU,10/17/2020,north
Grindavik,63.84,-22.43,42.8,100,75,23.04,IS,10/17/2020,north
Abu Dhabi,24.47,54.37,77.0,38,0,4.7,AE,10/17/2020,north
Carnarvon,-24.87,113.63,75.2,69,75,13.87,AU,10/17/2020,South
Belaya Gora,68.53,146.42,23.36,97,98,12.55,RU,10/17/2020,north
Deputatsky,69.3,139.9,14.7,96,100,10.27,RU,10/17/2020,north
Zhangye,38.93,100.45,54.82,32,0,8.81,CN,10/17/2020,north
Vila,42.03,-8.16,48.0,94,100,3.4,PT,10/17/2020,north
Honningsvåg,70.98,25.97,40.39,69,99,16.17,NO,10/17/2020,north
Lypova Dolyna,50.56,33.8,48.36,79,88,14.09,UA,10/17/2020,north
Bathsheba,13.22,-59.52,77.0,88,40,14.99,BB,10/17/2020,north
Yulara,-25.24,130.99,82.4,37,96,14.99,AU,10/17/2020,South
Jasper,37.2,-94.35,62.01,38,20,10.29,US,10/17/2020,north
Poros,37.5,23.45,66.0,66,1,1.01,GR,10/17/2020,north
Shirokiy,49.76,129.52,36.23,64,0,13.69,RU,10/17/2020,north
Narsaq,60.92,-46.05,37.4,77,51,1.12,GL,10/17/2020,north
Digby,44.62,-65.77,46.99,74,33,7.0,CA,10/17/2020,north
San Miguel de Tucumán,-26.82,-65.22,84.2,51,0,10.29,AR,10/17/2020,South
Três Lagoas,-20.75,-51.68,75.11,57,0,6.73,BR,10/17/2020,South
Camacha,33.08,-16.33,69.8,73,40,18.34,PT,10/17/2020,north
Ubari,26.59,12.78,74.8,19,0,6.71,LY,10/17/2020,north
East London,-33.02,27.91,64.67,83,100,13.53,ZA,10/17/2020,South
Léogâne,18.51,-72.63,80.6,83,9,4.54,HT,10/17/2020,north
Jardim,-21.48,-56.14,74.89,63,16,5.06,BR,10/17/2020,South
Huesca,42.14,-0.41,45.0,75,1,3.36,ES,10/17/2020,north
San Quintín,30.48,-115.95,69.19,83,0,9.06,MX,10/17/2020,north
Beian,63.66,9.57,44.6,70,40,29.97,NO,10/17/2020,north
Northam,51.03,-4.22,46.99,92,83,7.56,GB,10/17/2020,north
Dhrol,22.57,70.42,82.4,83,75,4.7,IN,10/17/2020,north
Buala,-8.14,159.59,84.72,73,88,6.49,SB,10/17/2020,South
Bengkulu,-3.8,102.27,78.98,79,95,2.55,ID,10/17/2020,South
Namatanai,-3.67,152.43,79.72,82,100,4.85,PG,10/17/2020,South
Denpasar,-8.65,115.22,87.8,70,40,11.41,ID,10/17/2020,South
Srednekolymsk,67.45,153.68,26.35,96,88,10.38,RU,10/17/2020,north
Sistranda,63.73,8.83,44.6,70,40,29.97,NO,10/17/2020,north
Xai-Xai,-25.05,33.64,66.45,84,0,10.31,MZ,10/17/2020,South
Rensvik,63.1,7.82,41.0,65,90,42.5,NO,10/17/2020,north
College,64.86,-147.8,24.8,45,75,3.42,US,10/17/2020,north
Nevel'sk,46.67,141.86,59.0,54,75,15.66,RU,10/17/2020,north
Naryan-Mar,67.67,53.09,29.08,97,21,4.92,RU,10/17/2020,north
Guarapari,-20.67,-40.5,68.0,94,75,5.82,BR,10/17/2020,South
Walvis Bay,-22.96,14.51,57.0,93,4,5.82,NA,10/17/2020,South
Keetmanshoop,-26.58,18.13,67.1,25,0,7.94,NA,10/17/2020,South
Esim,4.87,-2.24,76.59,90,99,5.88,GH,10/17/2020,north
Coyhaique,-45.58,-72.07,46.4,75,90,6.93,CL,10/17/2020,South
Longyearbyen,78.22,15.64,26.6,73,75,5.82,SJ,10/17/2020,north
Kharp,66.8,65.81,24.93,95,100,9.95,RU,10/17/2020,north
Abnūb,27.27,31.15,65.84,61,0,6.24,EG,10/17/2020,north
Bulgan,48.81,103.53,41.81,57,46,3.67,MN,10/17/2020,north
Fairbanks,64.84,-147.72,24.8,45,75,3.49,US,10/17/2020,north
Muswellbrook,-32.27,150.9,75.0,48,100,8.01,AU,10/17/2020,South
Poronaysk,49.22,143.12,54.66,54,46,16.51,RU,10/17/2020,north
Deer Lake,49.17,-57.43,62.6,88,75,9.17,CA,10/17/2020,north
Quime,-16.98,-67.22,51.76,71,82,3.15,BO,10/17/2020,South
Jaguariúna,-22.71,-46.99,62.6,82,40,14.99,BR,10/17/2020,South
Brooks,50.58,-111.89,21.99,74,0,7.72,CA,10/17/2020,north
Norman Wells,65.28,-126.83,19.4,62,5,4.7,CA,10/17/2020,north
Kalmunai,7.42,81.82,84.31,60,89,3.27,LK,10/17/2020,north
Ancud,-41.87,-73.82,48.99,93,90,12.75,CL,10/17/2020,South
Astoria,46.19,-123.83,55.99,82,90,3.18,US,10/17/2020,north
Esperance,-33.87,121.9,64.4,55,7,12.75,AU,10/17/2020,South
Ranfurly,-45.13,170.1,55.99,66,95,2.39,NZ,10/17/2020,South
Tucuruí,-3.77,-49.67,76.87,81,2,3.51,BR,10/17/2020,South
The Valley,18.22,-63.06,80.6,83,20,8.05,AI,10/17/2020,north
Usakos,-22.0,15.6,68.45,30,0,4.12,NA,10/17/2020,South
Waingapu,-9.66,120.26,87.26,52,9,9.35,ID,10/17/2020,South
Bonthe,7.53,-12.51,77.52,88,100,4.29,SL,10/17/2020,north
Carutapera,-1.2,-46.02,77.25,84,7,5.32,BR,10/17/2020,South
Wad Rāwah,15.16,33.14,81.5,16,1,7.74,SD,10/17/2020,north
Flin Flon,54.77,-101.86,26.53,97,100,9.84,CA,10/17/2020,north
Hastings,50.86,0.57,48.99,83,100,1.01,GB,10/17/2020,north
Mapiripán,2.89,-72.13,73.8,92,92,3.67,CO,10/17/2020,north
Nanortalik,60.14,-45.24,39.16,83,66,3.96,GL,10/17/2020,north
Smoky Lake,54.12,-112.47,19.99,76,19,5.99,CA,10/17/2020,north
Olavarría,-36.89,-60.32,68.0,82,0,4.0,AR,10/17/2020,South
Huilong,31.81,121.66,70.0,53,48,1.99,CN,10/17/2020,north
Zhezkazgan,47.8,67.71,50.34,47,22,8.9,KZ,10/17/2020,north
Bubaque,11.28,-15.83,81.81,85,12,10.63,GW,10/17/2020,north
Diamantina,-18.25,-43.6,59.02,98,99,8.43,BR,10/17/2020,South
Coquimbo,-29.95,-71.34,51.8,93,0,3.36,CL,10/17/2020,South
Tongchuanshi,35.08,109.09,60.67,35,74,3.51,CN,10/17/2020,north
Istok,42.78,20.49,45.0,81,40,1.12,XK,10/17/2020,north
Estelle,29.85,-90.11,69.01,86,0,5.73,US,10/17/2020,north
Umm Kaddadah,13.6,26.69,81.52,16,100,10.85,SD,10/17/2020,north
Lynn Haven,30.25,-85.65,68.0,72,1,4.7,US,10/17/2020,north
Praxédis Guerrero,31.37,-106.02,80.6,20,5,5.82,MX,10/17/2020,north
Takoradze,4.88,-1.76,76.69,90,94,6.13,GH,10/17/2020,north
